appliedForRegistration,vrn,engineNumber,chassisNumber,sumInsured,coiTypeCode,vehicleColor,regProvinceCode,manufactureYear,keeperName,keeperCNIC,accessoryName,accessoryValue,bodyTypeCode,passengerCapacity,cubicCapacity,modelCode,trackerInstalled,trackerInstalledType,trackerTypeCode,serialNumber,trackerCost,trackerRegisteredOwner
FALSE,AVfalse-647,ZZZ-2,BH266005,167875.6889,I.Y.I.S.,1,3,2022.133333,Ms. Sofia Bennett / 335473,42101-0800022-2,Wheels,0,,,,101115,,,,,,
FALSE,APB-2766,ABC-2,XtrueZ-2,180984.6556,I.Y.I.S.,1,3,2022.433333,Mr. Ethan Hayes / 306342,45504-0246512-4,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1792,S003935,DB003930,194093.6222,I.Y.I.S.,1,3,2022.733333,Ms. Isabella Turner / 306716,42101-0800022-3,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9714,ABC-152,BH434245,207202.5889,I.Y.I.S.,1,3,2023.033333,Mr. Alexander Mitchell / 299628,45504-0246512-5,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691062,EC373236,220311.5556,I.Y.I.S.,1,3,2023.333333,Ms. Sofia Bennett / 335474,42101-0800022-4,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5546,ABC-3,XtrueZ-3,233420.5222,I.Y.I.S.,1,3,2023.633333,Mr. Ethan Hayes / 306343,45504-0246512-6,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1821,US-12543849,US-12544044,246529.4889,I.Y.I.S.,1,3,2023.933333,Ms. Isabella Turner / 306717,42101-0800022-5,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119393,falseE43G119392,259638.4556,I.Y.I.S.,1,3,2024.233333,Mr. Alexander Mitchell / 299629,45504-0246512-7,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8952,US125-53369,US12553766,272747.4222,I.Y.I.S.,1,3,2024.533333,Mr. Alexander Mitchell / 299628,45504-0246512-4,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-648,ZZZ-3,BH266006,285856.3889,I.Y.I.S.,1,3,2024.833333,Ms. Sofia Bennett / 335474,42101-0800022-3,Wheels,0,,,,101115,,,,,,
FALSE,APB-2767,ABC-3,XtrueZ-3,298965.3556,I.Y.I.S.,1,3,2025.133333,Mr. Ethan Hayes / 306343,45504-0246512-5,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1793,S003936,DB003931,312074.3222,I.Y.I.S.,1,3,2025.433333,Ms. Isabella Turner / 306717,42101-0800022-4,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9715,ABC-153,BH434246,325183.2889,I.Y.I.S.,1,3,2025.733333,Mr. Alexander Mitchell / 299629,45504-0246512-6,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691063,EC373237,338292.2556,I.Y.I.S.,1,3,2026.033333,Ms. Sofia Bennett / 335475,42101-0800022-5,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5547,ABC-4,XtrueZ-4,351401.2222,I.Y.I.S.,1,3,2026.333333,Mr. Ethan Hayes / 306344,45504-0246512-7,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1822,US-12543849,US-12544044,364510.1889,I.Y.I.S.,1,3,2026.633333,Ms. Isabella Turner / 306718,42101-0800022-6,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119394,falseE43G119393,377619.1556,I.Y.I.S.,1,3,2026.933333,Mr. Alexander Mitchell / 299630,45504-0246512-8,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8953,US125-53370,US12553767,390728.1222,I.Y.I.S.,1,3,2027.233333,Mr. Alexander Mitchell / 299629,45504-0246512-5,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-649,ZZZ-4,BH266007,403837.0889,I.Y.I.S.,1,3,2027.533333,Ms. Sofia Bennett / 335475,42101-0800022-4,Wheels,0,,,,101115,,,,,,
FALSE,APB-2768,ABC-4,XtrueZ-4,416946.0556,I.Y.I.S.,1,3,2027.833333,Mr. Ethan Hayes / 306344,45504-0246512-6,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1794,S003937,DB003932,430055.0222,I.Y.I.S.,1,3,2028.133333,Ms. Isabella Turner / 306718,42101-0800022-5,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9716,ABC-154,BH434247,443163.9889,I.Y.I.S.,1,3,2028.433333,Mr. Alexander Mitchell / 299630,45504-0246512-7,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691064,EC373238,456272.9556,I.Y.I.S.,1,3,2028.733333,Ms. Sofia Bennett / 335476,42101-0800022-6,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5548,ABC-5,XtrueZ-5,469381.9222,I.Y.I.S.,1,3,2029.033333,Mr. Ethan Hayes / 306345,45504-0246512-8,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1823,US-12543849,US-12544044,482490.8889,I.Y.I.S.,1,3,2029.333333,Ms. Isabella Turner / 306719,42101-0800022-7,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119395,falseE43G119394,495599.8556,I.Y.I.S.,1,3,2029.633333,Mr. Alexander Mitchell / 299631,45504-0246512-9,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8954,US125-53371,US12553768,508708.8222,I.Y.I.S.,1,3,2029.933333,Mr. Alexander Mitchell / 299630,45504-0246512-6,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-650,ZZZ-5,BH266008,521817.7889,I.Y.I.S.,1,3,2030.233333,Ms. Sofia Bennett / 335476,42101-0800022-5,Wheels,0,,,,101115,,,,,,
FALSE,APB-2769,ABC-5,XtrueZ-5,534926.7556,I.Y.I.S.,1,3,2030.533333,Mr. Ethan Hayes / 306345,45504-0246512-7,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1795,S003938,DB003933,548035.7222,I.Y.I.S.,1,3,2030.833333,Ms. Isabella Turner / 306719,42101-0800022-6,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9717,ABC-155,BH434248,561144.6889,I.Y.I.S.,1,3,2031.133333,Mr. Alexander Mitchell / 299631,45504-0246512-8,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691065,EC373239,574253.6556,I.Y.I.S.,1,3,2031.433333,Ms. Sofia Bennett / 335477,42101-0800022-7,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5549,ABC-6,XtrueZ-6,587362.6222,I.Y.I.S.,1,3,2031.733333,Mr. Ethan Hayes / 306346,45504-0246512-9,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1824,US-12543849,US-12544044,600471.5889,I.Y.I.S.,1,3,2032.033333,Ms. Isabella Turner / 306720,42101-0800022-8,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119396,falseE43G119395,613580.5556,I.Y.I.S.,1,3,2032.333333,Mr. Alexander Mitchell / 299632,45504-0246512-10,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8955,US125-53372,US12553769,626689.5222,I.Y.I.S.,1,3,2032.633333,Mr. Alexander Mitchell / 299631,45504-0246512-7,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-651,ZZZ-6,BH266009,639798.4889,I.Y.I.S.,1,3,2032.933333,Ms. Sofia Bennett / 335477,42101-0800022-6,Wheels,0,,,,101115,,,,,,
FALSE,APB-2770,ABC-6,XtrueZ-6,652907.4556,I.Y.I.S.,1,3,2033.233333,Mr. Ethan Hayes / 306346,45504-0246512-8,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1796,S003939,DB003934,666016.4222,I.Y.I.S.,1,3,2033.533333,Ms. Isabella Turner / 306720,42101-0800022-7,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9718,ABC-156,BH434249,679125.3889,I.Y.I.S.,1,3,2033.833333,Mr. Alexander Mitchell / 299632,45504-0246512-9,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691066,EC373240,692234.3556,I.Y.I.S.,1,3,2034.133333,Ms. Sofia Bennett / 335478,42101-0800022-8,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5550,ABC-7,XtrueZ-7,705343.3222,I.Y.I.S.,1,3,2034.433333,Mr. Ethan Hayes / 306347,45504-0246512-10,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1825,US-12543849,US-12544044,718452.2889,I.Y.I.S.,1,3,2034.733333,Ms. Isabella Turner / 306721,42101-0800022-9,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119397,falseE43G119396,731561.2556,I.Y.I.S.,1,3,2035.033333,Mr. Alexander Mitchell / 299633,45504-0246512-11,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8956,US125-53373,US12553770,744670.2222,I.Y.I.S.,1,3,2035.333333,Mr. Alexander Mitchell / 299632,45504-0246512-8,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-652,ZZZ-7,BH266010,757779.1889,I.Y.I.S.,1,3,2035.633333,Ms. Sofia Bennett / 335478,42101-0800022-7,Wheels,0,,,,101115,,,,,,
FALSE,APB-2771,ABC-7,XtrueZ-7,770888.1556,I.Y.I.S.,1,3,2035.933333,Mr. Ethan Hayes / 306347,45504-0246512-9,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1797,S003940,DB003935,783997.1222,I.Y.I.S.,1,3,2036.233333,Ms. Isabella Turner / 306721,42101-0800022-8,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9719,ABC-157,BH434250,797106.0889,I.Y.I.S.,1,3,2036.533333,Mr. Alexander Mitchell / 299633,45504-0246512-10,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691067,EC373241,810215.0556,I.Y.I.S.,1,3,2036.833333,Ms. Sofia Bennett / 335479,42101-0800022-9,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5551,ABC-8,XtrueZ-8,823324.0222,I.Y.I.S.,1,3,2037.133333,Mr. Ethan Hayes / 306348,45504-0246512-11,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1826,US-12543849,US-12544044,836432.9889,I.Y.I.S.,1,3,2037.433333,Ms. Isabella Turner / 306722,42101-0800022-10,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119398,falseE43G119397,849541.9556,I.Y.I.S.,1,3,2037.733333,Mr. Alexander Mitchell / 299634,45504-0246512-12,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8957,US125-53374,US12553771,862650.9222,I.Y.I.S.,1,3,2038.033333,Mr. Alexander Mitchell / 299633,45504-0246512-9,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-653,ZZZ-8,BH266011,875759.8889,I.Y.I.S.,1,3,2038.333333,Ms. Sofia Bennett / 335479,42101-0800022-8,Wheels,0,,,,101115,,,,,,
FALSE,APB-2772,ABC-8,XtrueZ-8,888868.8556,I.Y.I.S.,1,3,2038.633333,Mr. Ethan Hayes / 306348,45504-0246512-10,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1798,S003941,DB003936,901977.8222,I.Y.I.S.,1,3,2038.933333,Ms. Isabella Turner / 306722,42101-0800022-9,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9720,ABC-158,BH434251,915086.7889,I.Y.I.S.,1,3,2039.233333,Mr. Alexander Mitchell / 299634,45504-0246512-11,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691068,EC373242,928195.7556,I.Y.I.S.,1,3,2039.533333,Ms. Sofia Bennett / 335480,42101-0800022-10,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5552,ABC-9,XtrueZ-9,941304.7222,I.Y.I.S.,1,3,2039.833333,Mr. Ethan Hayes / 306349,45504-0246512-12,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1827,US-12543849,US-12544044,954413.6889,I.Y.I.S.,1,3,2040.133333,Ms. Isabella Turner / 306723,42101-0800022-11,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119399,falseE43G119398,967522.6556,I.Y.I.S.,1,3,2040.433333,Mr. Alexander Mitchell / 299635,45504-0246512-13,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8958,US125-53375,US12553772,980631.6222,I.Y.I.S.,1,3,2040.733333,Mr. Alexander Mitchell / 299634,45504-0246512-10,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-654,ZZZ-9,BH266012,993740.5889,I.Y.I.S.,1,3,2041.033333,Ms. Sofia Bennett / 335480,42101-0800022-9,Wheels,0,,,,101115,,,,,,
FALSE,APB-2773,ABC-9,XtrueZ-9,1006849.556,I.Y.I.S.,1,3,2041.333333,Mr. Ethan Hayes / 306349,45504-0246512-11,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1799,S003942,DB003937,1019958.522,I.Y.I.S.,1,3,2041.633333,Ms. Isabella Turner / 306723,42101-0800022-10,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9721,ABC-159,BH434252,1033067.489,I.Y.I.S.,1,3,2041.933333,Mr. Alexander Mitchell / 299635,45504-0246512-12,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691069,EC373243,1046176.456,I.Y.I.S.,1,3,2042.233333,Ms. Sofia Bennett / 335481,42101-0800022-11,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5553,ABC-10,XtrueZ-10,1059285.422,I.Y.I.S.,1,3,2042.533333,Mr. Ethan Hayes / 306350,45504-0246512-13,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1828,US-12543849,US-12544044,1072394.389,I.Y.I.S.,1,3,2042.833333,Ms. Isabella Turner / 306724,42101-0800022-12,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119400,falseE43G119399,1085503.356,I.Y.I.S.,1,3,2043.133333,Mr. Alexander Mitchell / 299636,45504-0246512-14,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8959,US125-53376,US12553773,1098612.322,I.Y.I.S.,1,3,2043.433333,Mr. Alexander Mitchell / 299635,45504-0246512-11,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-655,ZZZ-10,BH266013,1111721.289,I.Y.I.S.,1,3,2043.733333,Ms. Sofia Bennett / 335481,42101-0800022-10,Wheels,0,,,,101115,,,,,,
FALSE,APB-2774,ABC-10,XtrueZ-10,1124830.256,I.Y.I.S.,1,3,2044.033333,Mr. Ethan Hayes / 306350,45504-0246512-12,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1800,S003943,DB003938,1137939.222,I.Y.I.S.,1,3,2044.333333,Ms. Isabella Turner / 306724,42101-0800022-11,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9722,ABC-160,BH434253,1151048.189,I.Y.I.S.,1,3,2044.633333,Mr. Alexander Mitchell / 299636,45504-0246512-13,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691070,EC373244,1164157.156,I.Y.I.S.,1,3,2044.933333,Ms. Sofia Bennett / 335482,42101-0800022-12,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5554,ABC-11,XtrueZ-11,1177266.122,I.Y.I.S.,1,3,2045.233333,Mr. Ethan Hayes / 306351,45504-0246512-14,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1829,US-12543849,US-12544044,1190375.089,I.Y.I.S.,1,3,2045.533333,Ms. Isabella Turner / 306725,42101-0800022-13,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119401,falseE43G119400,1203484.056,I.Y.I.S.,1,3,2045.833333,Mr. Alexander Mitchell / 299637,45504-0246512-15,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8960,US125-53377,US12553774,1216593.022,I.Y.I.S.,1,3,2046.133333,Mr. Alexander Mitchell / 299636,45504-0246512-12,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-656,ZZZ-11,BH266014,1229701.989,I.Y.I.S.,1,3,2046.433333,Ms. Sofia Bennett / 335482,42101-0800022-11,Wheels,0,,,,101115,,,,,,
FALSE,APB-2775,ABC-11,XtrueZ-11,1242810.956,I.Y.I.S.,1,3,2046.733333,Mr. Ethan Hayes / 306351,45504-0246512-13,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1801,S003944,DB003939,1255919.922,I.Y.I.S.,1,3,2047.033333,Ms. Isabella Turner / 306725,42101-0800022-12,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9723,ABC-161,BH434254,1269028.889,I.Y.I.S.,1,3,2047.333333,Mr. Alexander Mitchell / 299637,45504-0246512-14,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691071,EC373245,1282137.856,I.Y.I.S.,1,3,2047.633333,Ms. Sofia Bennett / 335483,42101-0800022-13,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5555,ABC-12,XtrueZ-12,1295246.822,I.Y.I.S.,1,3,2047.933333,Mr. Ethan Hayes / 306352,45504-0246512-15,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1830,US-12543849,US-12544044,1308355.789,I.Y.I.S.,1,3,2048.233333,Ms. Isabella Turner / 306726,42101-0800022-14,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119402,falseE43G119401,1321464.756,I.Y.I.S.,1,3,2048.533333,Mr. Alexander Mitchell / 299638,45504-0246512-16,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8961,US125-53378,US12553775,1334573.722,I.Y.I.S.,1,3,2048.833333,Mr. Alexander Mitchell / 299637,45504-0246512-13,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-657,ZZZ-12,BH266015,1347682.689,I.Y.I.S.,1,3,2049.133333,Ms. Sofia Bennett / 335483,42101-0800022-12,Wheels,0,,,,101115,,,,,,
FALSE,APB-2776,ABC-12,XtrueZ-12,1360791.656,I.Y.I.S.,1,3,2049.433333,Mr. Ethan Hayes / 306352,45504-0246512-14,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1802,S003945,DB003940,1373900.622,I.Y.I.S.,1,3,2049.733333,Ms. Isabella Turner / 306726,42101-0800022-13,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9724,ABC-162,BH434255,1387009.589,I.Y.I.S.,1,3,2050.033333,Mr. Alexander Mitchell / 299638,45504-0246512-15,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691072,EC373246,1400118.556,I.Y.I.S.,1,3,2050.333333,Ms. Sofia Bennett / 335484,42101-0800022-14,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5556,ABC-13,XtrueZ-13,1413227.522,I.Y.I.S.,1,3,2050.633333,Mr. Ethan Hayes / 306353,45504-0246512-16,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1831,US-12543849,US-12544044,1426336.489,I.Y.I.S.,1,3,2050.933333,Ms. Isabella Turner / 306727,42101-0800022-15,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119403,falseE43G119402,1439445.456,I.Y.I.S.,1,3,2051.233333,Mr. Alexander Mitchell / 299639,45504-0246512-17,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8962,US125-53379,US12553776,1452554.422,I.Y.I.S.,1,3,2051.533333,Mr. Alexander Mitchell / 299638,45504-0246512-14,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-658,ZZZ-13,BH266016,1465663.389,I.Y.I.S.,1,3,2051.833333,Ms. Sofia Bennett / 335484,42101-0800022-13,Wheels,0,,,,101115,,,,,,
FALSE,APB-2777,ABC-13,XtrueZ-13,1478772.356,I.Y.I.S.,1,3,2052.133333,Mr. Ethan Hayes / 306353,45504-0246512-15,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1803,S003946,DB003941,1491881.322,I.Y.I.S.,1,3,2052.433333,Ms. Isabella Turner / 306727,42101-0800022-14,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9725,ABC-163,BH434256,1504990.289,I.Y.I.S.,1,3,2052.733333,Mr. Alexander Mitchell / 299639,45504-0246512-16,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691073,EC373247,1518099.256,I.Y.I.S.,1,3,2053.033333,Ms. Sofia Bennett / 335485,42101-0800022-15,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5557,ABC-14,XtrueZ-14,1531208.222,I.Y.I.S.,1,3,2053.333333,Mr. Ethan Hayes / 306354,45504-0246512-17,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1832,US-12543849,US-12544044,1544317.189,I.Y.I.S.,1,3,2053.633333,Ms. Isabella Turner / 306728,42101-0800022-16,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119404,falseE43G119403,1557426.156,I.Y.I.S.,1,3,2053.933333,Mr. Alexander Mitchell / 299640,45504-0246512-18,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8963,US125-53380,US12553777,1570535.122,I.Y.I.S.,1,3,2054.233333,Mr. Alexander Mitchell / 299639,45504-0246512-15,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-659,ZZZ-14,BH266017,1583644.089,I.Y.I.S.,1,3,2054.533333,Ms. Sofia Bennett / 335485,42101-0800022-14,Wheels,0,,,,101115,,,,,,
FALSE,APB-2778,ABC-14,XtrueZ-14,1596753.056,I.Y.I.S.,1,3,2054.833333,Mr. Ethan Hayes / 306354,45504-0246512-16,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1804,S003947,DB003942,1609862.022,I.Y.I.S.,1,3,2055.133333,Ms. Isabella Turner / 306728,42101-0800022-15,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9726,ABC-164,BH434257,1622970.989,I.Y.I.S.,1,3,2055.433333,Mr. Alexander Mitchell / 299640,45504-0246512-17,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691074,EC373248,1636079.956,I.Y.I.S.,1,3,2055.733333,Ms. Sofia Bennett / 335486,42101-0800022-16,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5558,ABC-15,XtrueZ-15,1649188.922,I.Y.I.S.,1,3,2056.033333,Mr. Ethan Hayes / 306355,45504-0246512-18,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1833,US-12543849,US-12544044,1662297.889,I.Y.I.S.,1,3,2056.333333,Ms. Isabella Turner / 306729,42101-0800022-17,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119405,falseE43G119404,1675406.856,I.Y.I.S.,1,3,2056.633333,Mr. Alexander Mitchell / 299641,45504-0246512-19,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8964,US125-53381,US12553778,1688515.822,I.Y.I.S.,1,3,2056.933333,Mr. Alexander Mitchell / 299640,45504-0246512-16,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-660,ZZZ-15,BH266018,1701624.789,I.Y.I.S.,1,3,2057.233333,Ms. Sofia Bennett / 335486,42101-0800022-15,Wheels,0,,,,101115,,,,,,
FALSE,APB-2779,ABC-15,XtrueZ-15,1714733.756,I.Y.I.S.,1,3,2057.533333,Mr. Ethan Hayes / 306355,45504-0246512-17,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1805,S003948,DB003943,1727842.722,I.Y.I.S.,1,3,2057.833333,Ms. Isabella Turner / 306729,42101-0800022-16,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9727,ABC-165,BH434258,1740951.689,I.Y.I.S.,1,3,2058.133333,Mr. Alexander Mitchell / 299641,45504-0246512-18,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691075,EC373249,1754060.656,I.Y.I.S.,1,3,2058.433333,Ms. Sofia Bennett / 335487,42101-0800022-17,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5559,ABC-16,XtrueZ-16,1767169.622,I.Y.I.S.,1,3,2058.733333,Mr. Ethan Hayes / 306356,45504-0246512-19,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1834,US-12543849,US-12544044,1780278.589,I.Y.I.S.,1,3,2059.033333,Ms. Isabella Turner / 306730,42101-0800022-18,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119406,falseE43G119405,1793387.556,I.Y.I.S.,1,3,2059.333333,Mr. Alexander Mitchell / 299642,45504-0246512-20,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8965,US125-53382,US12553779,1806496.522,I.Y.I.S.,1,3,2059.633333,Mr. Alexander Mitchell / 299641,45504-0246512-17,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-661,ZZZ-16,BH266019,1819605.489,I.Y.I.S.,1,3,2059.933333,Ms. Sofia Bennett / 335487,42101-0800022-16,Wheels,0,,,,101115,,,,,,
FALSE,APB-2780,ABC-16,XtrueZ-16,1832714.456,I.Y.I.S.,1,3,2060.233333,Mr. Ethan Hayes / 306356,45504-0246512-18,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1806,S003949,DB003944,1845823.422,I.Y.I.S.,1,3,2060.533333,Ms. Isabella Turner / 306730,42101-0800022-17,Bumper,0,,,,101115,,,,,,
